country,coffee_type,1990_1991,1991_1992,1992_1993,1993_1994,1994_1995,1995_1996,1996_1997,1997_1998,1998_1999,1999_2000,2000_2001,2001_2002,2002_2003,2003_2004,2004_2005,2005_2006,2006_2007,2007_2008,2008_2009,2009_2010,2010_2011,2011_2012,2012_2013,2013_2014,2014_2015,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,total_production
Angola,Robusta/Arabica,3000000,4740000,4680000,1980000,4620000,3720000,4260000,3840000,5100000,3300000,3000000,1260000,3420000,2280000,900000,1500000,2100000,2160000,2280000,780000,2100000,1740000,1980000,2100000,2340000,2460000,2700000,2100000,2520000,3120000,82080000
Bolivia (Plurinational State of),Arabica,7380000,6240000,7200000,3060000,7020000,8520000,7500000,8460000,8280000,9480000,8880000,5640000,7620000,6180000,9300000,6600000,8760000,6960000,7200000,7680000,7020000,7920000,6300000,7200000,6000000,5040000,4680000,5040000,4980000,4860000,207000000
Brazil,Arabica/Robusta,1637160000,1637580000,2076180000,1690020000,1691520000,1083600000,1751820000,1568880000,2205660000,2854680000,1878600000,1881900000,2901120000,1732380000,2356860000,1975980000,2905920000,2334660000,3089460000,2638620000,3325680000,2915520000,3325080000,3281340000,3198300000,3172260000,3407280000,3164400000,3907860000,3492660000,75082980000
Burundi,Arabica/Robusta,29220000,40020000,37200000,23580000,39840000,26040000,24060000,15000000,29520000,21060000,29220000,8640000,27240000,20280000,26220000,6180000,29880000,7980000,24720000,6720000,21180000,12240000,24360000,9780000,14880000,16140000,11760000,12120000,12240000,16320000,623640000
Ecuador,Arabica/Robusta,90240000,127440000,71100000,124140000,142560000,113280000,119580000,71460000,72360000,71880000,51240000,47580000,34920000,38460000,46800000,56100000,62100000,57000000,46260000,48780000,51240000,49500000,49680000,39960000,38640000,38640000,38700000,37440000,29760000,33540000,1900380000
Indonesia,Robusta/Arabica,446460000,509580000,334140000,404580000,322080000,274380000,493260000,457260000,437760000,393420000,419220000,409980000,403860000,384240000,452160000,549540000,448980000,466620000,576720000,682800000,547740000,413340000,784200000,774060000,656760000,755100000,692460000,651120000,577080000,685980000,15404880000
Madagascar,Robusta,58920000,55980000,67320000,26520000,38460000,47100000,50940000,37440000,59520000,25620000,21720000,8820000,26700000,26100000,31320000,35940000,35220000,36840000,43680000,27420000,31800000,35100000,30000000,35040000,30060000,24840000,27180000,24240000,22740000,22980000,1045560000
Malawi,Arabica,6300000,7440000,8220000,3720000,5040000,5460000,2940000,3660000,3840000,3540000,3780000,3600000,2520000,2880000,1260000,1440000,1020000,1140000,1260000,1020000,1020000,1560000,1380000,1680000,1500000,1260000,1200000,840000,780000,960000,82260000
Papua New Guinea,Arabica/Robusta,57780000,44820000,54000000,61140000,68340000,60120000,65340000,64440000,81120000,83220000,62460000,63780000,65100000,69300000,59880000,76080000,48420000,58080000,61680000,62280000,52020000,84840000,42960000,50100000,47880000,42720000,70260000,44040000,55800000,45120000,1803120000
Paraguay,Arabica,7860000,4800000,3240000,4020000,1500000,1560000,1860000,2940000,1920000,1140000,1320000,1320000,2160000,2820000,2280000,2640000,2100000,2340000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,62220000
